WindNumber,Time,WindSpeed,Power,RotorSpeed
11,2019/1/1 0:10,5.327,368.3666667,8.8345
11,2019/1/1 0:20,5.184833333,362.5166667,8.775833333
11,2019/1/1 0:30,5.3835,390.7,9.006
11,2019/1/1 0:40,5.54,454.9830508,9.464576271
11,2019/1/1 0:50,5.603333333,465.45,9.551666667
11,2019/1/1 1:00,5.780166667,519.3666667,9.898333333
11,2019/1/1 1:10,5.7935,496.6666667,9.752666667
11,2019/1/1 1:20,5.709333333,503.3833333,9.803833333
11,2019/1/1 1:30,5.720166667,464.15,9.518666667
11,2019/1/1 1:40,5.819152542,521.9322034,9.916949153
11,2019/1/1 1:50,5.926166667,570.35,10.22333333
11,2019/1/1 2:00,5.754166667,488.2666667,9.7045
11,2019/1/1 2:10,5.802166667,476.05,9.6205
11,2019/1/1 2:20,5.639833333,453.0666667,9.462166667
11,2019/1/1 2:30,5.616666667,423.8833333,9.23
11,2019/1/1 2:40,5.49779661,434.7118644,9.328305085
11,2019/1/1 2:50,5.993333333,558.0166667,10.15266667
11,2019/1/1 3:00,5.580666667,457.0166667,9.484833333
11,2019/1/1 3:10,5.650666667,494,9.741333333
11,2019/1/1 3:20,5.507333333,387.9666667,8.996166667
11,2019/1/1 3:30,5.5235,414.95,9.204
11,2019/1/1 3:40,5.048813559,368.0847458,8.835762712
11,2019/1/1 3:50,5.485666667,395.5833333,9.049833333
11,2019/1/1 4:00,5.2235,330.9166667,8.5075
11,2019/1/1 4:10,5.6545,415,9.146333333
11,2019/1/1 4:20,5.338666667,428.8333333,9.216
11,2019/1/1 4:30,5.149,375.5666667,8.865666667
11,2019/1/1 4:40,5.466440678,428.9152542,9.241355932
11,2019/1/1 4:50,5.184,373.6166667,8.896333333
11,2019/1/1 5:00,4.081833333,93.68333333,7.518666667
11,2019/1/1 5:10,6.955833333,1132.6,12.42
11,2019/1/1 5:20,7.2395,1350.766667,13.26483333
11,2019/1/1 5:30,5.688666667,536.0333333,9.6195
11,2019/1/1 5:40,5.385932203,436.1694915,9.31559322
11,2019/1/1 5:50,5.855166667,556.5666667,10.1385
11,2019/1/1 6:00,5.333166667,432.1833333,9.276666667
11,2019/1/1 6:10,6.351,646.4833333,10.54
11,2019/1/1 6:20,7.725333333,1431.633333,13.6945
11,2019/1/1 6:30,6.642,1060.066667,12.55866667
11,2019/1/1 6:40,6.818983051,1082.966102,12.64152542
11,2019/1/1 6:50,6.803833333,1051.583333,12.42716667
11,2019/1/1 7:00,6.197166667,933.2,11.9325
11,2019/1/1 7:10,5.982,801,11.37833333
11,2019/1/1 7:20,5.869333333,619.15,10.31166667
11,2019/1/1 7:30,5.6285,516.75,9.758166667
11,2019/1/1 7:40,6.62,943.7627119,12.12576271
11,2019/1/1 7:50,5.566833333,579.4666667,10.151
11,2019/1/1 8:00,7.1275,1328.383333,13.2745
11,2019/1/1 8:10,8.227,1806.616667,13.98033333
11,2019/1/1 8:20,8.947288136,2062.966102,14.01050847
11,2019/1/1 8:30,8.691666667,1929.95,14.022
11,2019/1/1 8:40,8.5015,1775.05,13.99866667
11,2019/1/1 8:50,7.0825,1278.833333,13.37566667
11,2019/1/1 9:00,6.543166667,904.65,11.92816667
11,2019/1/1 9:10,5.428666667,443.2833333,9.353666667
11,2019/1/1 9:20,3.236610169,21.25423729,4.826949153
11,2019/1/1 9:30,1.743166667,-0.083333333,0.313333333
11,2019/1/1 9:40,2.665,10.28333333,1.110333333
11,2019/1/1 9:50,4.209,106.1666667,7.508666667
11,2019/1/1 10:00,3.6515,46.21666667,7.505666667
11,2019/1/1 10:10,4.166779661,80.42372881,7.513559322
11,2019/1/1 10:20,3.528,8.066666667,6.419
11,2019/1/1 10:30,2.061833333,-0.133333333,0.316333333
11,2019/1/1 10:40,1.675666667,-0.2,0.298
11,2019/1/1 10:50,2.409166667,-0.333333333,0.307333333
11,2019/1/1 11:00,3.697666667,8.633333333,4.106333333
11,2019/1/1 11:10,4.361525424,179.3728814,7.616271186
11,2019/1/1 11:20,4.048,115.75,7.504
11,2019/1/1 11:30,4.244333333,136.7166667,7.511
11,2019/1/1 11:40,4.140666667,125.6333333,7.556333333
11,2019/1/1 11:50,3.875333333,71.95,7.533666667
11,2019/1/1 12:00,4.004,69.23333333,7.488833333
11,2019/1/1 12:10,3.958813559,59.6779661,7.487627119
11,2019/1/1 12:20,3.923333333,54.43333333,7.513666667
11,2019/1/1 12:30,3.125333333,2.966666667,7.368166667
11,2019/1/1 12:40,3.459,-0.35,0.635166667
11,2019/1/1 12:50,3.335166667,-0.2,0.329666667
11,2019/1/1 13:00,3.333050847,-0.13559322,0.327118644
11,2019/1/1 13:10,3.661666667,-0.066666667,0.360666667
11,2019/1/1 13:20,2.7285,-0.133333333,0.3325
11,2019/1/1 13:30,3.0395,-0.233333333,0.3395
11,2019/1/1 13:40,2.8665,-0.366666667,0.296
11,2019/1/1 13:50,3.9245,-0.3,0.365833333
11,2019/1/1 14:00,3.271355932,-0.186440678,0.49559322
11,2019/1/1 14:10,2.790666667,-0.283333333,0.449
11,2019/1/1 14:20,2.971016949,-0.101694915,0.411186441
11,2019/1/1 14:30,2.702833333,-0.233333333,0.3565
11,2019/1/1 14:40,2.653833333,-0.133333333,0.319166667
11,2019/1/1 14:50,2.763666667,-0.2,0.3815
11,2019/1/1 15:00,2.970333333,-0.15,0.383166667
11,2019/1/1 15:10,2.5035,-0.183333333,0.336833333
11,2019/1/1 15:20,3.41,0.457627119,1.699152542
11,2019/1/1 15:30,3.895166667,50.01666667,7.509
11,2019/1/1 15:40,4.1495,63.56666667,7.509333333
11,2019/1/1 15:50,3.8405,71.43333333,7.513666667
11,2019/1/1 16:00,3.749166667,37.9,7.509333333
11,2019/1/1 16:10,3.613728814,5.084745763,7.503389831
11,2019/1/1 16:20,3.4845,22.98333333,7.510833333
11,2019/1/1 16:30,3.764333333,55.43333333,7.509666667
11,2019/1/1 16:40,4.302666667,127.3166667,7.518333333
11,2019/1/1 16:50,4.764166667,200.05,7.726166667
11,2019/1/1 17:00,5.081355932,298.5084746,8.220508475
11,2019/1/1 17:10,5.459833333,430.0833333,9.278
11,2019/1/1 17:20,5.525666667,480.3333333,9.627166667
11,2019/1/1 17:30,5.532166667,482.2833333,9.6365
11,2019/1/1 17:40,6.076440678,698.2033898,10.89491525
11,2019/1/1 17:50,6.513666667,827.7,11.58333333
11,2019/1/1 18:00,6.834,974.7666667,12.247
